"date","inst","party","value","color"
2016-09-10,"Emnid","cdu",33,"#373737"
2016-09-03,"Emnid","cdu",34,"#373737"
2016-08-27,"Emnid","cdu",34,"#373737"
2016-08-20,"Emnid","cdu",34,"#373737"
2016-08-13,"Emnid","cdu",34,"#373737"
2016-08-06,"Emnid","cdu",34,"#373737"
2016-07-30,"Emnid","cdu",35,"#373737"
2016-07-23,"Emnid","cdu",35,"#373737"
2016-07-16,"Emnid","cdu",35,"#373737"
2016-07-09,"Emnid","cdu",35,"#373737"
2016-07-02,"Emnid","cdu",33,"#373737"
2016-06-25,"Emnid","cdu",32,"#373737"
2016-06-18,"Emnid","cdu",33,"#373737"
2016-06-11,"Emnid","cdu",34,"#373737"
2016-06-04,"Emnid","cdu",33,"#373737"
2016-05-28,"Emnid","cdu",33,"#373737"
2016-05-21,"Emnid","cdu",32,"#373737"
2016-05-14,"Emnid","cdu",33,"#373737"
2016-05-07,"Emnid","cdu",32,"#373737"
2016-04-30,"Emnid","cdu",33,"#373737"
2016-04-23,"Emnid","cdu",33,"#373737"
2016-04-16,"Emnid","cdu",33,"#373737"
2016-04-09,"Emnid","cdu",34,"#373737"
2016-04-02,"Emnid","cdu",33,"#373737"
2016-03-26,"Emnid","cdu",34,"#373737"
2016-03-19,"Emnid","cdu",34,"#373737"
2016-03-12,"Emnid","cdu",36,"#373737"
2016-03-05,"Emnid","cdu",35,"#373737"
2016-02-27,"Emnid","cdu",36,"#373737"
2016-02-20,"Emnid","cdu",35,"#373737"
2016-02-13,"Emnid","cdu",35,"#373737"
2016-02-06,"Emnid","cdu",35,"#373737"
2016-01-30,"Emnid","cdu",34,"#373737"
2016-01-23,"Emnid","cdu",36,"#373737"
2016-01-16,"Emnid","cdu",38,"#373737"
2016-01-09,"Emnid","cdu",39,"#373737"
2015-12-26,"Emnid","cdu",39,"#373737"
2015-12-19,"Emnid","cdu",38,"#373737"
2015-12-12,"Emnid","cdu",37,"#373737"
2015-12-05,"Emnid","cdu",37,"#373737"
2015-11-28,"Emnid","cdu",38,"#373737"
2015-11-21,"Emnid","cdu",37,"#373737"
2015-11-14,"Emnid","cdu",37,"#373737"
2015-11-07,"Emnid","cdu",36,"#373737"
2015-10-31,"Emnid","cdu",36,"#373737"
2015-10-24,"Emnid","cdu",36,"#373737"
2015-10-17,"Emnid","cdu",37,"#373737"
2015-10-10,"Emnid","cdu",38,"#373737"
2015-10-03,"Emnid","cdu",40,"#373737"
2015-09-26,"Emnid","cdu",40,"#373737"
2015-09-19,"Emnid","cdu",40,"#373737"
2015-09-12,"Emnid","cdu",41,"#373737"
2015-09-05,"Emnid","cdu",41,"#373737"
2015-08-29,"Emnid","cdu",41,"#373737"
2015-08-22,"Emnid","cdu",42,"#373737"
2015-08-16,"Emnid","cdu",43,"#373737"
2015-08-08,"Emnid","cdu",43,"#373737"
2015-08-01,"Emnid","cdu",43,"#373737"
2015-07-25,"Emnid","cdu",43,"#373737"
2015-07-18,"Emnid","cdu",43,"#373737"
2015-07-12,"Emnid","cdu",42,"#373737"
2015-07-04,"Emnid","cdu",40,"#373737"
2015-06-27,"Emnid","cdu",41,"#373737"
2015-06-20,"Emnid","cdu",40,"#373737"
